,PDF Name,County,co_fips,State,FIPS,T1,T2,pie_classes,TC,AG,TURF,IMP,WT,OT,OT4C,TOT,lu_pct_tc,lu_pct_ag,lu_pct_tg,lu_pct_imp,lu_pct_wt,lu_pct_ot,lu_pct_ot4c,FORE,TCIS,TCTG,TCOT,tc_pct_fore,tc_pct_tcis,tc_pct_tctg,tc_pct_tcot,pdev_tc,dev_tc,tc_gain,tc_pdev,tc_dev,tc_loss,tc_net,tc_net verbiage,GEOID,County Name,BaseCountyName,countycityCamel,ConditionalCounty,countycity,Carbon Sequestration (tons),Carbon Sequestration (tons Custom),Carbon Sequestration ($),,Carbon Sequestration ($Custom),AvoidedRunoff (gall),AvoidedRunoff (Gal Custom),Avoided Runoff ($),Avoided Runoff ($ Millions),Avoided Runoff (rounded$),Avoided Runoff ($Custom),Total Air (lbs),Total Air ($), Total Air (lbs custom) ,Total Air ($Custom),AB mil plus,AB sub mil,AB format if,Annual Benefits ($Custom),map_path,ContactAddress,URL,ContactText,LinkText,base_URL_spacescommas,Download_URL,Download_HTML
10,"Tree Cover Fact Sheet Appomattox County, VA 2014-2018.pdf",Appomattox,appo_51011,VA,51011,2014,2018,6class,"136,798","46,080","3,993","3,921",204,"22,753","69,036","213,748",64,21.6,1.9,1.8,0.1,10.6,32.3,"129,851",770,"2,742","3,434",94.9,0.6,2,2.5,16,29,45,455,66,520,-476,Net Loss,51011,Appomattox County,Appomattox,County,County,county,"162,204","163,000","$30,494,299 ",$30.5  million,$30.5  million,47394118, 47.4 million gallons ,"$423,514 ",$0.4 million,423600,"$423,600 ",9609400.829,632181.2391,9.6 Million,"$632,181",$31.5 Million,"$31,550,000 ",$31.5 Million,$31.5 Million,folder/appo_51011_hexmap.PNG,community@dof.virginia.gov,https://dof.virginia.gov/urban-community-forestry/,Lara Johnson,Virginia Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Appomattox County, VA 2014-2018.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Appomattox%20County%2C%20VA%202014-2018.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Appomattox%20County%2C%20VA%202014-2018.pdf>Download Fact Sheet</a>
11,"Tree Cover Fact Sheet Arlington County, VA 2014-2018.pdf",Arlington,arli_51013,VA,51013,2014,2018,4class,"5,655",2,"2,598","7,680",7,682,690,"16,624",34,0,15.6,46.2,0,4.1,4.1,755,"1,027","3,301",572,13.4,18.2,58.4,10.1,15,21,36,25,9,34,1,Net Gain,51013,Arlington County,Arlington,County,County,county,"6,706","7,000","$1,260,645 ",$1.3  million,$1.3  million,100531401, 100.5 million gallons ,"$898,349 ",$0.9 million,898400,"$898,400 ",387466.5256,1753844.461,"387,467",$1.8 Million,$3.9 Million,"$3,913,000 ",$3.9 Million,$3.9 Million,folder/arli_51013_hexmap.PNG,community@dof.virginia.gov,https://dof.virginia.gov/urban-community-forestry/,Lara Johnson,Virginia Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Arlington County, VA 2014-2018.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Arlington%20County%2C%20VA%202014-2018.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Arlington%20County%2C%20VA%202014-2018.pdf>Download Fact Sheet</a>
12,"Tree Cover Fact Sheet Augusta County, VA 2014-2018.pdf",Augusta,augu_51015,VA,51015,2014,2018,6class,"384,601","193,466","16,460","15,577",748,"8,541","202,755","619,393",62.1,31.2,2.7,2.5,0.1,1.4,32.7,"362,653","2,597","8,231","11,121",94.3,0.7,2.1,2.9,87,43,130,501,218,720,-590,Net Loss,51015,Augusta County,Augusta,County,County,county,"456,029","457,000","$85,733,494 ",$85.7  million,$85.7  million,275141232, 275.1 million gallons ,"$2,458,662 ",$2.5 million,2458700,$2.5 million,21460679.74,1799093.931,21.5 Million,$1.8 Million,$90.0 Million,"$89,991,000 ",$90.0 Million,$90.0 Million,folder/augu_51015_hexmap.PNG,community@dof.virginia.gov,https://dof.virginia.gov/urban-community-forestry/,Lara Johnson,Virginia Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Augusta County, VA 2014-2018.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Augusta%20County%2C%20VA%202014-2018.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Augusta%20County%2C%20VA%202014-2018.pdf>Download Fact Sheet</a>
13,"Tree Cover Fact Sheet Baltimore County, MD 2013-2018.pdf",Baltimore,balt_24005,MD,24005,2013,2018,6class,"169,375","75,854","61,247","52,786","4,262","19,688","99,805","383,212",44.2,19.8,16,13.8,1.1,5.1,26,"114,092","4,252","38,823","12,209",67.4,2.5,22.9,7.2,107,24,131,862,414,1276,"-1,145",Net Loss,24005,Baltimore County,Baltimore,County,County,county,"221,394","222,000","$41,622,086 ",$41.6  million,$41.6  million,1041848760, 1 billion gallons ,"$9,309,961 ",$9.3 million,9310000,$9.3 million,13142296.22,23774459.13,13.1 Million,$23.8 Million,$74.7 Million,"$74,707,000 ",$74.7 Million,$74.7 Million,folder/balt_24005_hexmap.PNG,,https://dnr.maryland.gov/forests/pages/urban-community.aspx,,Maryland Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Baltimore County, MD 2013-2018.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Baltimore%20County%2C%20MD%202013-2018.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Baltimore%20County%2C%20MD%202013-2018.pdf>Download Fact Sheet</a>
14,"Tree Cover Fact Sheet Baltimore (city), MD 2013-2018.pdf",Baltimore City,balt_24510,MD,24510,2013,2018,4class,"14,880",78,"9,203","25,700",72,"2,001","2,151","51,935",28.7,0.2,17.7,49.5,0.1,3.9,4.2,"3,404","3,073","7,195","1,208",22.9,20.7,48.4,8.1,78,153,231,89,62,151,81,Net Gain,24510,Baltimore (city),Baltimore (city),City,,city,"19,450","20,000","$3,656,649 ",$3.7  million,$3.7  million,374016870, 374 million gallons ,"$3,342,215 ",$3.3 million,3342300,$3.3 million,987054.4405,11256207.09,"987,054",$11.3 Million,$18.3 Million,"$18,255,000 ",$18.3 Million,$18.3 Million,folder/balt_24510_hexmap.PNG,,https://dnr.maryland.gov/forests/pages/urban-community.aspx,,Maryland Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Baltimore (city), MD 2013-2018.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Baltimore%20(city)%2C%20MD%202013-2018.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Baltimore%20(city)%2C%20MD%202013-2018.pdf>Download Fact Sheet</a>
15,"Tree Cover Fact Sheet Bath County, VA 2014-2018.pdf",Bath,bath_51017,VA,51017,2014,2018,6class,"308,496","18,592","2,264","2,029",204,"7,072","25,868","338,656",91.1,5.5,0.7,0.6,0.1,2.1,7.7,"305,294",429,"1,292","1,481",99,0.1,0.4,0.5,2,2,4,78,33,111,-107,Net Loss,51017,Bath County,Bath,County,County,county,"365,790","366,000","$68,768,490 ",$68.8  million,$68.8  million,2146731, 2.1 million gallons ,"$19,183 ",$0.0 million,19200,"$19,200 ",16842410.13,285277.8126,16.8 Million,"$285,278",$69.1 Million,"$69,073,000 ",$69.1 Million,$69.1 Million,folder/bath_51017_hexmap.PNG,community@dof.virginia.gov,https://dof.virginia.gov/urban-community-forestry/,Lara Johnson,Virginia Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Bath County, VA 2014-2018.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Bath%20County%2C%20VA%202014-2018.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Bath%20County%2C%20VA%202014-2018.pdf>Download Fact Sheet</a>
16,"Tree Cover Fact Sheet Bedford County, PA 2013-2017.pdf",Bedford,bedf_42009,PA,42009,2013,2017,6class,"443,459","142,048","16,991","11,818",979,"31,953","174,980","647,248",68.5,21.9,2.6,1.8,0.2,4.9,27,"423,824","1,645","6,837","11,153",95.6,0.4,1.5,2.5,57,13,70,459,159,617,-547,Net Loss,42009,Bedford County,Bedford,County,County,county,"437,883","438,000","$82,322,053 ",$82.3  million,$82.3  million,243267640, 243.3 million gallons ,"$2,173,840 ",$2.2 million,2173900,$2.2 million,25486444.76,4660295.587,25.5 Million,$4.7 Million,$89.2 Million,"$89,156,000 ",$89.2 Million,$89.2 Million,folder/bedf_42009_hexmap.PNG,c-jobrockm@pa.gov,https://www.dcnr.pa.gov/Communities/CommunityTreeManagement/Pages/default.aspx,Ned Brockmeyer,Pennsylvania Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Bedford County, PA 2013-2017.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Bedford%20County%2C%20PA%202013-2017.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Bedford%20County%2C%20PA%202013-2017.pdf>Download Fact Sheet</a>
17,"Tree Cover Fact Sheet Bedford County, VA 2014-2018.pdf",Bedford,bedf_51019,VA,51019,2014,2018,6class,"302,696","116,206","19,491","14,743",185,"26,758","143,149","480,079",63.1,24.2,4.1,3.1,0,5.6,29.8,"278,632","2,022","12,094","9,947",92.1,0.7,4,3.3,158,59,217,381,326,707,-490,Net Loss,51019,Bedford County,Bedford,County,County,county,"361,618","362,000","$67,984,189 ",$68.0  million,$68.0  million,279245148, 279.2 million gallons ,"$2,495,335 ",$2.5 million,2495400,$2.5 million,20292261.69,2296686.245,20.3 Million,$2.3 Million,$72.8 Million,"$72,776,000 ",$72.8 Million,$72.8 Million,folder/bedf_51019_hexmap.PNG,community@dof.virginia.gov,https://dof.virginia.gov/urban-community-forestry/,Lara Johnson,Virginia Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Bedford County, VA 2014-2018.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Bedford%20County%2C%20VA%202014-2018.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Bedford%20County%2C%20VA%202014-2018.pdf>Download Fact Sheet</a>
19,"Tree Cover Fact Sheet Berkeley County, WV 2014-2018.pdf",Berkeley,berk_54003,WV,54003,2014,2018,6class,"114,561","52,369","19,210","11,368",854,"6,391","59,614","204,752",56,25.6,9.4,5.6,0.4,3.1,29.1,"100,062",679,"8,956","4,863",87.3,0.6,7.8,4.2,72,30,102,413,146,559,-457,Net Loss,54003,Berkeley County,Berkeley,County,County,county,"111,729","112,000","$21,005,107 ",$21.0  million,$21.0  million,164411965, 164.4 million gallons ,"$1,469,185 ",$1.5 million,1469200,$1.5 million,5956310.672,2830153.701,6.0 Million,$2.8 Million,$25.3 Million,"$25,304,000 ",$25.3 Million,$25.3 Million,folder/berk_54003_hexmap.PNG,frodgers@cacaponinstitute.org,https://wvforestry.com/urban-forestry/,Frank Rodgers,West Virginia Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Berkeley County, WV 2014-2018.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Berkeley%20County%2C%20WV%202014-2018.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Berkeley%20County%2C%20WV%202014-2018.pdf>Download Fact Sheet</a>
18,"Tree Cover Fact Sheet Berks County, PA 2013-2017.pdf",Berks,berk_42011,PA,42011,2013,2017,6class,"251,665","191,214","40,467","37,886","1,055","26,004","218,272","548,290",45.9,34.9,7.4,6.9,0.2,4.7,39.8,"209,903","3,407","25,677","12,677",83.4,1.4,10.2,5,172,40,212,475,397,873,-661,Net Loss,42011,Berks County,Berks,County,County,county,"248,501","249,000","$46,718,096 ",$46.7  million,$46.7  million,689472827, 689.5 million gallons ,"$6,161,129 ",$6.2 million,6161200,$6.2 million,13497120.28,21061315.5,13.5 Million,$21.1 Million,$73.9 Million,"$73,941,000 ",$73.9 Million,$73.9 Million,folder/berk_42011_hexmap.PNG,c-jobrockm@pa.gov,https://www.dcnr.pa.gov/Communities/CommunityTreeManagement/Pages/default.aspx,Ned Brockmeyer,Pennsylvania Website,"https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree Cover Fact Sheet Berks County, PA 2013-2017.pdf",https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Berks%20County%2C%20PA%202013-2017.pdf,<a href=https://cicwebresources.blob.core.windows.net/tc-factsheets/Tree%20Cover%20Fact%20Sheet%20Berks%20County%2C%20PA%202013-2017.pdf>Download Fact Sheet</a>
